,state,county,candidate,party,total_votes,won,fips,state_code,male,female,median_age,population,female_percentage,lat,long,color,year,DEM_Rate,REP_Rate,Metro_DEM_Votes,Metro_REP_Votes,Metro_DEM_Rate,Metro_REP_Rate,Race,2016,2020,% increase,fact,Arizona,Georgia,South Carolina
640,Georgia,Chatham County,Joe Biden,DEM,78247,TRUE,13051,GA,138403,148646,35.2,287049,51.78419016,32.00421553,-81.13283525,blue,,,,,,,,,,,,,,,
644,Georgia,Chattahoochee County,Donald Trump,REP,880,TRUE,13053,GA,7172,3595,23.7,10767,33.38905916,32.34698433,-84.7870209,red,,,,,,,,,,,,,,,
648,Georgia,Chattooga County,Donald Trump,REP,8064,TRUE,13055,GA,12865,11952,39.5,24817,48.16053512,34.47500026,-85.34534078,red,,,,,,,,,,,,,,,
652,Georgia,Cherokee County,Donald Trump,REP,99585,TRUE,13057,GA,119270,122640,38.3,241910,50.69654004,34.2439499,-84.47619175,red,,,,,,,,,,,,,,,
656,Georgia,Clarke County,Joe Biden,DEM,36055,TRUE,13059,GA,59248,65354,27.7,124602,52.45020144,33.95117829,-83.36733045,blue,,,,,,,,,,,,,,,
660,Georgia,Clay County,Joe Biden,DEM,791,TRUE,13061,GA,1473,1528,45.1,3001,50.91636121,31.62623788,-84.98008739,blue,,,,,,,,,,,,,,,
664,Georgia,Clayton County,Joe Biden,DEM,95466,TRUE,13063,GA,130748,147918,32.4,278666,53.080749,33.54190471,-84.35764423,blue,,,,,,,,,,,,,,,
668,Georgia,Clinch County,Donald Trump,REP,2105,TRUE,13065,GA,3427,3316,37.7,6743,49.17692422,30.9149953,-82.70625716,red,,,,,,,,,,,,,,,
672,Georgia,Cobb County,Joe Biden,DEM,221847,TRUE,13067,GA,360270,384787,36.5,745057,51.64531036,33.9414814,-84.57669232,blue,,,,,,,,,,,,,,,
676,Georgia,Coffee County,Donald Trump,REP,10578,TRUE,13069,GA,22088,20873,36.2,42961,48.58592677,31.54928577,-82.84917705,red,,,,,,,,,,,,,,,
680,Georgia,Colquitt County,Donald Trump,REP,11777,TRUE,13071,GA,22554,23052,36.4,45606,50.54598079,31.18837686,-83.76879849,red,,,,,,,,,,,,,,,
684,Georgia,Columbia County,Donald Trump,REP,50013,TRUE,13073,GA,71970,75325,36.6,147295,51.13887097,33.54411701,-82.26403887,red,,,,,,,,,,,,,,,
688,Georgia,Cook County,Donald Trump,REP,4900,TRUE,13075,GA,8348,8836,37.4,17184,51.41992551,31.15399291,-83.43046305,red,,,,,,,,,,,,,,,
692,Georgia,Coweta County,Donald Trump,REP,51501,TRUE,13077,GA,68430,72086,38.5,140516,51.30091947,33.35346426,-84.76335813,red,,,,,,,,,,,,,,,
696,Georgia,Crawford County,Donald Trump,REP,4428,TRUE,13079,GA,6299,6045,44.4,12344,48.97116008,32.71451075,-83.9863297,red,,,,,,,,,,,,,,,
700,Georgia,Crisp County,Donald Trump,REP,4985,TRUE,13081,GA,10849,11997,38.8,22846,52.51247483,31.92291153,-83.76805458,red,,,,,,,,,,,,,,,
704,Georgia,Dade County,Donald Trump,REP,6066,TRUE,13083,GA,7932,8295,42.2,16227,51.11850619,34.85455198,-85.50451949,red,,,,,,,,,,,,,,,
708,Georgia,Dawson County,Donald Trump,REP,13398,TRUE,13085,GA,11774,12087,43.4,23861,50.65588198,34.44429665,-84.17062681,red,,,,,,,,,,,,,,,
712,Georgia,Decatur County,Donald Trump,REP,6755,TRUE,13087,GA,12907,13926,38.1,26833,51.89878135,30.87834851,-84.57904679,red,,,,,,,,,,,,,,,
716,Georgia,DeKalb County,Joe Biden,DEM,308162,TRUE,13089,GA,351871,391316,35.6,743187,52.65377355,33.77153603,-84.22642599,blue,,,,,,,,,,,,,,,
720,Georgia,Dodge County,Donald Trump,REP,5843,TRUE,13091,GA,10972,9947,41.6,20919,47.5500741,32.17220686,-83.16840542,red,,,,,,,,,,,,,,,
724,Georgia,Dooly County,Donald Trump,REP,2159,TRUE,13093,GA,7529,6376,43.7,13905,45.85400935,32.15718704,-83.79879578,red,,,,,,,,,,,,,,,
728,Georgia,Dougherty County,Joe Biden,DEM,24568,TRUE,13095,GA,42144,48905,35.1,91049,53.71283595,31.53346418,-84.21638639,blue,,,,,,,,,,,,,,,
